gene_id,highly_variable
NOTCH2NL,False
AC239799.2,False
NBPF12,False
PRKAB2,False
AC242426.2,False
FMO5,False
CHD1L,False
LINC00624,False
BCL9,False
ACP6,False
GJA5,True
GPR89B,False
AC239803.2,False
AC239803.3,False
NBPF11,False
AC239803.1,False
AC245100.7,False
PPIAL4G,False
NBPF14,True
PDE4DIP,True
NBPF9,False
AC245297.3,False
AC245297.2,False
NBPF19,False
FCGR1A,False
HIST2H2BF,False
AC243772.2,False
HIST2H3D,False
AC239868.3,False
HIST2H2AA4,False
HIST2H4B,False
AC239868.2,False
HIST2H2BE,False
HIST2H2AC,False
HIST2H2AB,False
BOLA1,False
SV2A,False
SF3B4,False
MTMR11,False
OTUD7B,True
VPS45,False
PLEKHO1,False
ANP32E,True
AC242988.1,False
CA14,False
APH1A,False
C1orf54,False
CIART,False
MRPS21,False
PRPF3,False
RPRD2,False
TARS2,False
ECM1,False
FALEC,False
AL356356.1,False
ADAMTSL4,False
MCL1,False
ENSA,False
GOLPH3L,False
HORMAD1,False
CTSS,False
CTSK,False
ARNT,False
SETDB1,False
CERS2,False
AL590133.1,False
ANXA9,True
MINDY1,False
PRUNE1,False
BNIPL,False
C1orf56,False
CDC42SE1,False
MLLT11,False
GABPB2,False
SEMA6C,False
TNFAIP8L2,False
SCNM1,True
LYSMD1,False
VPS72,False
PIP5K1A,False
PSMD4,False
AL391069.2,False
ZNF687,False
PI4KB,False
RFX5,False
AL391069.3,False
SELENBP1,True
PSMB4,True
POGZ,False
CGN,False
TUFT1,False
SNX27,False
MRPL9,True
OAZ3,True
AL589765.5,False
TDRKH,False
TDRKH-AS1,False
AL589765.6,False
LINGO4,False
RORC,False
C2CD4D,False
AL450992.2,False
THEM4,True
S100A10,False
S100A11,True
TCHH,False
FLG-AS1,False
AL589986.2,False
HRNR,False
LCE2D,False
S100A9,False
S100A12,False
S100A8,True
S100A6,True
S100A5,False
S100A4,True
S100A2,False
S100A16,False
S100A14,False
S100A13,True
S100A1,False
AL162258.2,False
CHTOP,False
SNAPIN,True
ILF2,False
NPR1,True
INTS3,False
AL513523.3,False
SLC27A3,True
GATAD2B,False
AL358472.5,False
DENND4B,False
CRTC2,False
SLC39A1,False
AL358472.4,False
AL358472.3,False
CREB3L4,False
JTB,False
AL358472.2,False
RAB13,False
RPS27,False
NUP210L,False
TPM3,True
C1orf43,False
UBAP2L,True
HAX1,False
AQP10,False
ATP8B2,False
IL6R-AS1,False
IL6R,True
SHE,False
AL162591.2,False
TDRD10,False
UBE2Q1,False
ADAR,True
KCNN3,False
PMVK,False
AL451085.1,False
PBXIP1,False
PYGO2,False
AL451085.2,False
SHC1,False
CKS1B,False
FLAD1,False
ZBTB7B,False
DCST2,False
DCST1-AS1,True
ADAM15,False
EFNA4,False
EFNA3,False
EFNA1,True
SLC50A1,False
DPM3,False
KRTCAP2,False
TRIM46,False
MUC1,False
THBS3,False
MTX1,True
GBA,False
FAM189B,False
SCAMP3,False
CLK2,False
HCN3,False
PKLR,True
FDPS,False
RUSC1-AS1,False
RUSC1,False
ASH1L,False
ASH1L-AS1,False
MSTO1,False
YY1AP1,False
DAP3,False
GON4L,False
SYT11,False
RIT1,False
KHDC4,False
ARHGEF2,False
SSR2,False
UBQLN4,False
LAMTOR2,False
RAB25,False
MEX3A,False
LMNA,True
SEMA4A,False
SLC25A44,False
PMF1,False
BGLAP,False
PAQR6,False
SMG5,False
TMEM79,False
GLMP,False
CCT3,False
TSACC,False
RHBG,False
C1orf61,False
AL139412.1,False
MEF2D,False
IQGAP3,False
NAXE,False
GPATCH4,True
AL365181.3,False
NES,False
AL590666.3,False
CRABP2,False
ISG20L2,False
RRNAD1,False
MRPL24,True
HDGF,False
PRCC,False
SH2D2A,False
INSRR,False
PEAR1,False
LRRC71,False
ARHGEF11,False
ETV3,False
FCRL5,False
FCRL3,False
FCRL2,False
FCRL1,False
CD5L,True
KIRREL1,False
CD1D,False
AL138899.1,False
CD1C,False
CD1E,False
MNDA,False
PYHIN1,False
IFI16,True
AIM2,False
CADM3,False
ACKR1,False
AL513323.1,False
AL663023.1,False
APCS,True
CRP,False
DUSP23,False
FCRL6,False
SLAMF8,False
VSIG8,False
AL590560.2,False
CFAP45,False
TAGLN2,False
IGSF9,True
SLAMF9,False
LINC01133,False
KCNJ10,False
PIGM,False
IGSF8,False
ATP1A2,False
AL121987.2,False
PEA15,False
DCAF8,False
AL139011.2,False
AL139011.1,False
PEX19,True
COPA,False
NCSTN,True
NHLH1,False
VANGL2,False
SLAMF6,False
CD84,False
SLAMF1,True
AL121985.1,False
CD48,True
SLAMF7,False
LY9,False
CD244,False
ITLN1,False
ITLN2,False
F11R,True
TSTD1,False
USF1,False
ARHGAP30,False
NECTIN4,False
KLHDC9,False
PFDN2,False
NIT1,True
DEDD,False
UFC1,False
AL590714.1,False
USP21,False
PPOX,False
B4GALT3,False
ADAMTS4,False
NDUFS2,False
FCER1G,False
APOA2,False
TOMM40L,False
NR1I3,True
PCP4L1,False
MPZ,False
SDHC,False
AL592295.4,False
FCGR2A,False
HSPA6,False
FCGR3A,False
FCGR3B,False
FCGR2B,False
FCRLA,False
FCRLB,True
DUSP12,False
AL359541.1,False
ATF6,False
OLFML2B,False
NOS1AP,True
C1orf226,True
SPATA46,False
SH2D1B,False
UHMK1,False
AL596325.1,False
UAP1,False
DDR2,False
HSD17B7,False
CCDC190,False
RGS4,False
RGS5,False
RGS5-1,False
NUF2,False
PBX1,False
LMX1A,False
MGST3,False
ALDH9A1,False
AL451074.6,False
TMCO1,False
AL451074.2,False
UCK2,True
FAM78B,False
